AChBP,Ca22,Na12,α3β2,α3β4,α4β2,α7,α9α10
0.375,0.68,0.625,0.1875,0.5333333333333333,0.5263157894736842,0.6666666666666666,0.5
0.5625,0.68,0.5625,0.5625,0.8666666666666667,0.7894736842105263,0.5,0.3125
0.4375,0.96,0.625,0.5625,0.4666666666666667,0.2631578947368421,0.3333333333333333,0.375
0.625,0.72,0.6875,0.4375,0.6,0.8947368421052632,0.8333333333333334,0.375
0.375,0.88,0.625,0.25,0.8,0.3684210526315789,0.5833333333333334,0.3125
0.5,0.76,0.625,0.25,0.9333333333333333,0.21052631578947367,0.5,0.4375
0.4375,0.56,0.5,0.3125,0.4666666666666667,0.631578947368421,0.6666666666666666,0.5
0.4375,0.72,0.25,0.4375,0.4666666666666667,0.5789473684210527,0.75,0.25
0.4375,0.52,0.5625,0.4375,0.9333333333333333,0.8947368421052632,0.4166666666666667,0.3125
0.5,0.52,0.375,0.5,0.8,0.3157894736842105,0.4166666666666667,0.375
0.5,0.44,0.8125,0.3125,0.6666666666666666,0.47368421052631576,0.5,0.4375
0.4375,0.68,0.6875,0.3125,0.8,0.3157894736842105,0.4166666666666667,0.5625
0.4375,0.8,0.5625,0.375,0.4666666666666667,0.42105263157894735,0.5833333333333334,0.5
0.4375,0.4,0.625,0.5625,0.8666666666666667,0.8421052631578947,0.4166666666666667,0.375
0.375,0.68,0.6875,0.375,0.8666666666666667,0.3684210526315789,0.9166666666666666,0.5
0.375,0.64,0.5,0.3125,0.8666666666666667,0.47368421052631576,0.3333333333333333,0.4375
0.375,0.72,0.5,0.25,0.8,0.2631578947368421,0.4166666666666667,0.25
0.625,0.68,0.75,0.75,0.7333333333333333,0.3684210526315789,0.6666666666666666,0.5
0.3125,0.72,0.4375,0.375,0.8666666666666667,0.8421052631578947,0.5833333333333334,0.1875
0.3125,0.52,0.6875,0.375,0.5333333333333333,0.7894736842105263,0.3333333333333333,0.25
0.4375,0.56,0.6875,0.25,0.4666666666666667,0.8421052631578947,0.5,0.3125
0.5625,0.4,0.75,0.5,0.8,0.47368421052631576,0.3333333333333333,0.1875
0.6875,0.6,0.5625,0.1875,0.6,0.42105263157894735,0.5,0.1875
0.625,0.8,0.5625,0.375,0.6666666666666666,0.7894736842105263,0.9166666666666666,0.5625
0.375,0.76,0.75,0.5625,0.7333333333333333,0.7894736842105263,0.25,0.6875
0.5,0.68,0.6875,0.4375,0.6666666666666666,0.6842105263157895,0.9166666666666666,0.375
