AChBP_random,Cav2.2_random,α4β2_random,α9α10_random,α7_random,α3β4_random,Nav1.2_random,α3β2_random,AChBP_C1,Cav2.2_C1,α4β2_C1,α9α10_C1,α7_C1,α3β4_C1,Nav1.2_C1,α3β2_C1,Nav1.2_C2,α4β2_C2,AChBP_C2,α7_C2,Cav2.2_C2,α3β4_C2,α9α10_C2,α3β2_C2,Nav1.2_C3,α4β2_C3,AChBP_C3,α7_C3,Cav2.2_C3,α3β4_C3,α9α10_C3,α3β2_C3,Nav1.2_C4,α4β2_C4,AChBP_C4,α7_C4,Cav2.2_C4,α3β4_C4,α9α10_C4,α3β2_C4,Nav1.2_C5,α4β2_C5,AChBP_C5,α7_C5,Cav2.2_C5,α3β4_C5,α9α10_C5,α3β2_C5
12.19497,-1.6589,5.6591,10.27027,4.0605,3.57155,6.9853,12.71084,0.1971,7.34902,5.7918,5.2732,5.76598,6.48728,7.67301,-1.9079,12.68588,16.28515,0.5607,2.23219,3.77243,3.10725,3.9173,1.2289,14.15201,-0.9191,9.44432,15.33425,-0.3175,-0.7825,1.9802,-0.3339,13.04935,8.4713,-2.9748,-4.5237,0.5198,1.2719,1.413,-1.9154,11.13495,-3.2226,-2.8567,3.09377,0.0139,2.652,-2.6279,-4.7475
1.49417,-1.6588,9.4028,10.13913,-0.306,16.22485,7.4292,10.72173,3.83671,2.6538,-0.9099,2.1387,-1.7891,2.049,11.0552,5.3218,15.52139,10.7338,11.450378,0.62544,2.9248,9.35636,-1.2613,-1.765,4.6144,47.9757,5.49628,2.64712,-2.9544,3.19128,3.1222,-2.0303,15.783536,29.37834,-3.931,5.31251,4.51302,-1.6526,1.583,0.1234,16.744408,10.2366,-2.402,16.95509,-15.4071,-2.5527,1.858,-1.2344
5.59678,-1.2686,11.9087,16.04043,-3.0974,5.83516,6.0857,9.66133,-0.6971,-0.151,20.5902,6.7176,3.97981,0.2545,15.24597,3.9307,14.00085,17.19007,5.506,0.68549,-3.2713,1.3335,4.19,-1.9162,9.1237,18.86325,-1.4789,-4.556,7.767,1.8595,1.9701,9.24612,24.65164,14.06016,-1.6907,-4.8479,4.79067,-3.74,0.8505,1.0541,19.31812,4.6589,1.49775,3.7029,-0.0679,-3.5895,1.2276,1.7394
10.472685,-1.0134,18.013,12.69515,0.70285,0.4531,2.1743,7.578,-4.7243,2.0951,5.5238,2.14,-1.4305,8.32809,12.24333,-1.9609,7.94335,31.49629,1.0912,-4.3538,-0.9593,4.02981,8.52308,5.48327,11.55949,5.0727,3.1566,-0.2282,-6.1513,0.6429,-1.9773,-3.0797,18.02496,0.8232,-2.1512,2.86654,3.81979,4.60506,-0.2516,2.2741,18.789,48.7372,-0.1275,-1.8316,0.4393,-0.0521,-4.1238,0.2205
4.16225,-0.753,18.79921,17.050265,5.87168,5.3202,8.93293,4.3399,1.98677,-0.2672,2.8825,-0.0201,15.82867,8.13713,9.42441,18.12725,15.721893,18.30418,14.05065,0.79217,3.1728,2.2166,-5.0246,10.89814,9.2124,18.79076,2.33759,1.2595,6.70956,1.6289,-2.6874,1.6283,17.267318,6.3719,0.70005,5.81039,-4.9208,-3.1344,3.2954,-0.3858,7.10807,8.497,-2.0792,-4.9044,-11.4295,0.2552,-2.4186,-2.7178
15.99583,-0.7017,12.2983,16.67258,-0.5242,5.5774,8.76518,12.99886,0.89366,10.76344,-1.801,3.6837,-0.6433,0.2224,6.3523,2.0876,11.72953,17.68477,3.9934,-1.5889,22.21919,9.96456,-0.0118,1.9766,11.7904,27.03256,-2.4581,9.0766,2.9302,5.06291,-3.6077,-6.8893,11.38531,-0.467,-3.267,1.81787,-0.8897,-1.3213,0.7683,-1.284,13.14388,1.3628,-6.8619,0.4687,8.0758,1.4829,4.4725,0.1473
14.89945,-0.5549,23.125959,10.9512,5.9094,3.17679,2.8621,8.18674,6.63089,6.23085,-0.1442,0.4011,-0.4169,5.20537,17.621918,-2.3444,11.3099,29.24425,-0.9492,-0.8298,5.1166,-3.4879,4.4074,1.6622,8.69491,7.8614,9.980086,-1.7957,5.82271,15.01086,5.4234,-2.8175,11.89104,48.6961,3.55264,-0.6973,-1.204,0.9971,8.75498,-1.7461,0.5791,4.8701,17.95893,14.16943,-5.3291,1.9062,-2.2959,-2.4176
15.23198,-0.4427,43.9571,1.1532,1.95895,1.9907,9.44335,10.26799,20.40566,8.4197,19.06239,-0.1123,-0.0283,4.80764,15.749346,-1.7234,3.4997,4.9273,2.73943,-0.1056,4.21453,2.1768,0.9124,1.8012,17.65298,0.3007,-5.3282,-0.5608,-5.1925,11.04577,-0.499,3.8427,10.72503,-2.1906,-0.6039,-1.0779,8.66847,6.22113,0.7087,1.1454,18.51479,29.17965,-5.9356,-1.6855,1.3288,-1.5265,-0.6086,1.1021
17.65418,-0.1256,28.46435,13.13083,6.20806,3.66404,9.09004,12.15581,-1.4662,1.0213,-5.1852,2.5414,8.06312,-0.6155,15.22316,1.9942,9.24622,40.0334,-5.0524,-0.7953,-4.5764,2.3306,1.7438,5.0584,12.29337,1.7108,7.53579,3.60689,-3.3346,2.6119,0.9586,-3.1181,16.86386,10.3117,-1.82,2.97691,4.19862,9.42607,0.6426,-6.5898,11.19201,12.0885,-4.6367,-0.4601,3.48836,3.87814,8.67797,0.7622
1.25493,0.1405,30.79296,7.6131,3.18754,3.06055,10.58263,2.5778,0.73112,-5.1301,6.0274,7.8121,-0.3944,4.07163,8.07842,0.0697,9.15502,11.765,27.1,2.44854,-1.2687,7.18859,9.38945,-3.9917,7.69907,5.8733,0.76676,-1.8997,12.430717,0.0947,9.06173,9.59173,11.48639,5.1151,-2.1092,3.28973,-11.87,4.5269,2.7822,2.5364,26.12488,3.1118,3.04392,-0.9328,3.25622,-2.6088,-5.6178,-2.9916
